★ダミー topmenu PS3,★ダミー topmenu PSVITA
"電撃文庫キャラクター同士の
さまざまなエピソードを楽しむことができるモードです。

操作キャラクターにイグナイトブーストが適用されます。",
"キャラクターたちと対戦しながら、
会話シーンを楽しむことができます。",
"電撃のキャラクターたちが活躍する、
エピソードを楽しむことができます。",
"好きなキャラクターを選択して、
プレイヤー同士の対戦や
CPUとの対戦を行うことができるモードです。

すべてのキャラクターにイグナイトブーストが適用されます。","好きなキャラクターを選択して、
CPUとの対戦を行うことができるモードです。

すべてのキャラクターにイグナイトブーストが適用されます。"
"「PSN」に接続し、全国のプレイヤーと
対戦することができるモードです。

イグナイトブーストは適用されません。",
★ダミー　adhoc PS3,"「PlayStation%REG%Vita」同士で
アドホック通信対戦を行うことができるモードです。

イグナイトブーストは適用されません。
"
"さまざまな特殊ルールが設けられた
オリジナルゲームを楽しむことができるモードで、
プレイ結果をランキングに登録することが可能です。
　
イグナイトブーストは適用されません。",
"連続で戦闘を行い、獲得したスコアを競います。

勝ち進むことで最大で９回の戦闘を行うことができ、
スコアをランキングに登録することが可能です。",
"規定回数の戦闘を行い、クリアタイムを競います。
クリアタイムをランキングに登録することが可能です。",
"限られた体力で、何人倒すことができるかを競います。
倒した数をランキングに登録することが可能です。",
"キャラクターの状態やアクションを自由に設定し、
さまざまな状況で練習することができるモードです。

イグナイトブーストは適用されません。",
"カスタマイズをすることができるモードです。

獲得したポイントを使用してアイテムを購入し、
自由に設定することができます。",
"ゲーム中で使用されたキャラクター画像や音楽を
鑑賞することができるモードです。

保存した対戦リプレイも
このモードで鑑賞することが可能です。",
"ゲーム中に使用されている、
キャラクターイラストや音声を鑑賞することができます。",
キャラクターの元になったノベルの一部を読むことができます。　,
"ゲーム中に使用されている
音楽を鑑賞することができます。",
"保存したリプレイデータを再生し、
対戦を鑑賞することができます。",
"ゲームに関するさまざまな設定を
変更することができるモードです。",
"データインストールや、セーブ形式の変更など、
データ関係の設定を変更することができます。","セーブ形式の変更など、
データ関係の設定を変更することができます。"
"ゲームの難易度や制限時間など、
ゲームシステム関係の設定を変更することができます。",
"サウンドやＳＥのボリューム設定を
変更することができます。",
"テレビに合わせた画面タイプを
設定することができます。",
"ボタン割り当てを
設定することができます。",
★デバッグ用のメニューを起動します。,
★ダミー exit,
 CP を取得しました。,
%DPAD_V%選択 %DPAD_H%変更 %OK%決定 %CANCEL%戻る,
%DPAD_V%選択 %OK%決定 %CANCEL%戻る,
スペシャル　シャナが開放されました。,
スペシャル　アスナが開放されました。,
スペシャル　御坂 美琴が開放されました。,
スペシャル　高坂 桐乃が開放されました。,
スペシャル　平和島 静雄が開放されました。,
スペシャル　黒雪姫が開放されました。,
スペシャル　湊 智花が開放されました。,
スペシャル　キリトが開放されました。,
スペシャル　司波 深雪が開放されました。,
スペシャル　逢坂 大河が開放されました。,
スペシャル　姫柊 雪菜が開放されました。,
スペシャル　里見 蓮太郎が開放されました。,
スペシャル　遊佐 恵美が開放されました。,
スペシャル　クウェンサーが開放されました。,
スペシャル　司波 達也が開放されました。,
スペシャル　白井 黒子が開放されました。,
スペシャル　ユウキが開放されました。,
スペシャル　アコが開放されました。,
スペシャル　アキラが開放されました。,
スペシャル　セルベリアが開放されました。,
スペシャル　ヴィルヘルミナが開放されました。,
スペシャル　リーファが開放されました。,
スペシャル　上条 当麻が開放されました。,
スペシャル　黒猫が開放されました。,
スペシャル　セルティが開放されました。,
スペシャル　ハルユキが開放されました。,
スペシャル　イノセント・チャームが開放されました。,
スペシャル　ホロが開放されました。,
スペシャル　加賀 香子が開放されました。,
スペシャル　ブギーポップが開放されました。,
スペシャル　キノが開放されました。,
スペシャル　椎名 ましろが開放されました。,
スペシャル　藤和 エリオが開放されました。,
スペシャル　真奥 貞夫が開放されました。,
スペシャル　高須 竜児が開放されました。,
スペシャル　暁 古城が開放されました。,
スペシャル　藍原 延珠が開放されました。,
スペシャル　ドクロちゃんが開放されました。,
スペシャル　一方通行が開放されました。,
スペシャル　折原 臨也が開放されました。,
スペシャル　フローレイティアが開放されました。,
スペシャル　伊里野 加奈が開放されました。,
スペシャル　浅間・智が開放されました。,
スペシャル　ゼロが開放されました。,
スペシャル　初春 飾利が開放されました。,
スペシャル　レンが開放されました。,
スペシャル　ルシアンが開放されました。,
スペシャル　パイが開放されました。,
スペシャル　アリシアが開放されました。,
