"ID

※入力不要","word
称号用ワード","furigana
ふりがな","publish_type
配布・販売種別

 'shop'
 => '一般称号(販売)',
 'login'     
=> '一般称号(期間内ログインで配布)',
'medal'    
 => 'メダル称号',
 'record'    
=> '特別称号(実績に応じて配布)',
 'evet'     
 => '特別称号(イベント時プレイにより配布)'
 'special'  
 => '特別称号(手動配布)',
","index
販売・設定用索引キー

a:あ行
ka:か行
sa:さ行
taた行
naな行
haは行
maま行
yaや行
raら行
waわ行
English:英語
number:数字
symbol:記号
other:その他
medal:メダル
special:特別","sub_index
サブ索引キー

あ,い,う,え,お などの2番目の索引。indexがひらがなのもののみ記入してください

あかさたな・・
a,ka,sa,ta,na,. ..
いきしちに・・
i,ki,si,ti,ni, ...
うくすつぬ・・
u,ku,su,tu,nu...
・・・","publish_start
配布開始日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","publish_end
配布終了日時

「一般称号(期間内ログインで配布)」「特別称号(イベント時プレイにより配布)」で使
用","event_key
対応するイベントNO

「特別称号(イベント時プレイにより配布)」で使用

※Dcode内のイベントフラグと
連動しますので、これ単独で設定をしても配布されることはありません

※本来はNOが入るがとりあえず、今は名前で代用","medal_key
対応するメダルNO

「メダル称号」で使用<br />

※Dcode内のメダルフラグと連動しますので、これ単独で設
定をしても配布されることはありません","record_key
対応する実績条件キー

「特別称号(実績に応じて配布)」で使用

※TAITO様からお送りいただく月間戦績な
どのデータと連動しますので、これ単独で設定をしても配布されることはありません

※本来は条件キーが入るが、今は名前で代用","publish_status
配布ステータス

1:配布中
0:配布停止

一般称号（販売用）とイベント称号の時に使用。
これが0の時には、販売や配布を停止する

後から追加予定のものはここを0にして書いておいて頂いても大丈夫です","use_status
使用ステータス

1:称号に使用可
0:不可

0の場合には称号設定画面で選択できない

基本的には使うことはない想定のステータスだが、念のため用意

後から追加予定のものはここを0にして書いておいても大丈夫です",タイムスタンプ,メモ,メモ
,0,0,shop,number,,,,,,,1,1,,,
,1,1,shop,number,,,,,,,1,1,,,
,2,2,shop,number,,,,,,,1,1,,,
,3,3,shop,number,,,,,,,1,1,,,
,4,4,shop,number,,,,,,,1,1,,,
,5,5,shop,number,,,,,,,1,1,,,
,6,6,shop,number,,,,,,,1,1,,,
,7,7,shop,number,,,,,,,1,1,,,
,8,8,shop,number,,,,,,,1,1,,,
,9,9,shop,number,,,,,,,1,1,,,
,10,10,shop,number,,,,,,,1,1,,,
,11,11,shop,number,,,,,,,1,1,,,
,12,12,shop,number,,,,,,,1,1,,,
,13,13,shop,number,,,,,,,1,1,,,
,14,14,shop,number,,,,,,,1,1,,,
,15,15,shop,number,,,,,,,1,1,,,
,16,16,shop,number,,,,,,,1,1,,,
,17,17,shop,number,,,,,,,1,1,,,
,18,18,shop,number,,,,,,,1,1,,,
,19,19,shop,number,,,,,,,1,1,,,
,20,20,shop,number,,,,,,,1,1,,,
,21,21,shop,number,,,,,,,1,1,,,
,22,22,shop,number,,,,,,,1,1,,,
,23,23,shop,number,,,,,,,1,1,,,
,24,24,shop,number,,,,,,,1,1,,,
,25,25,shop,number,,,,,,,1,1,,,
,26,26,shop,number,,,,,,,1,1,,,
,27,27,shop,number,,,,,,,1,1,,,
,28,28,shop,number,,,,,,,1,1,,,
,29,29,shop,number,,,,,,,1,1,,,
,30,30,shop,number,,,,,,,1,1,,,
,31,31,shop,number,,,,,,,1,1,,,
,32,32,shop,number,,,,,,,1,1,,,
,33,33,shop,number,,,,,,,1,1,,,
,34,34,shop,number,,,,,,,1,1,,,
,35,35,shop,number,,,,,,,1,1,,,
,36,36,shop,number,,,,,,,1,1,,,
,37,37,shop,number,,,,,,,1,1,,,
,38,38,shop,number,,,,,,,1,1,,,
,39,39,shop,number,,,,,,,1,1,,,
,40,40,shop,number,,,,,,,1,1,,,
,41,41,shop,number,,,,,,,1,1,,,
